facility_name,facility_id
Killarney Golf & Fishing Club - Killeen Course,15654
Shannon Golf Club,15659
Athy Golf Club,15668
Ballymena Golf Club,15706
Greenacres Golf Club,15853
Roscrea Golf Club,16057
Killarney Golf & Fishing Club - Mahony's Point,16311
Aberdelghy Golf Club,16312
Carrick Golf Club,16327
City of Belfast Golf Club,16464
Allen Park Golf Club,16500
Ballyearl Golf Centre,16531
Glasson Hotel & Golf Club,16727
Bentra Golf Course,16799
Castlegregory Golf Club,16819
Kilrea Golf Club,17150
Beaufort Golf Club,17381
Strokestown Golf Club,17453
Crover House Golf Club,17543
Ormeau Golf Club,17547
Crossgar Golf Club,17612
Pococke Golf Club,17647
Kilkenny Foot Golf,17648
Castlerea Golf Club,17720
Bright Castle Golf Club,17744
Buttermountain Golf and Leisure Club Ltd,17772
Greenisland Golf Club,17975
Ballymascanlon Hotel and Golf Resort,18305
Tubbercurry Golf Club,18451
Ross Golf Course,18453
Enniskillen Golf Club,18485
Al Mouj Golf,18944
Gweedore Golf Club,19039
Portstewart Golf Club - Riverside,19161
Portstewart Golf Club - The Old Course,19162
